,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,TOV,STL,BLK,PF,PFD,PTS,USG_PCT,PIE,POSS,PTS_PAINT,PCT_PTS_2PT_MR,AGE,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,FGM_PAINT,FGM_2PT_MR,GAME_DATE_OBJ,PW_MIN,PW_GAMES,PW_FG3A,PW_FG2A,PW_OREB,PW_DREB,PW_ASTS,PW_TOV,PW_STL,PW_BLK,PW_POS,PW_PF,PW_PFD,PW_FGM_PAINT,PW_FGM_2PT_MR,PW_PIE_AVG,PW_USG_PCT_AVG,OUT_NEXT_GAME,CAREER_INJURIES,DAYS_LAST_INJURY
0,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101219,2022-04-10T00:00:00,DAL vs. SAS,W,28.75,8,18,2,5,8,8,1,7,9,4,2,1,1,6,26,0.368,0.203,61,12,0.0,23,79,230,6,0,2022-04-10,102.61666666666667,3,34,30,1,26,36,17,4,1,210,6,24,15.0,2.0,0.21666666666666667,0.43133333333333335,0,26,20
1,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101209,2022-04-08T00:00:00,DAL vs. POR,W,29.6,12,21,7,14,8,11,0,11,7,5,0,1,0,7,39,0.443,0.34,62,10,0.0,23,79,230,5,0,2022-04-08,109.30000000000001,3,29,36,1,22,35,17,4,1,222,9,23,14.0,5.0,0.16033333333333333,0.417,0,26,18
2,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101190,2022-04-06T00:00:00,DAL @ DET,W,33.95,8,21,2,11,8,13,1,7,14,6,1,0,4,8,26,0.446,0.134,68,10,0.077,23,79,230,5,1,2022-04-06,113.18333333333334,3,24,46,0,24,34,14,4,3,229,6,19,19.0,5.0,0.19199999999999998,0.39033333333333337,0,26,16
3,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101167,2022-04-03T00:00:00,DAL @ MIL,W,39.06666666666667,9,22,3,9,11,14,0,8,15,6,3,0,2,9,32,0.405,0.176,80,10,0.063,23,79,230,5,1,2022-04-03,136.4666666666667,4,34,58,4,34,36,12,2,3,270,8,25,27.0,6.0,0.22,0.39,0,26,13
4,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101152,2022-04-01T00:00:00,DAL @ WAS,L,36.28333333333333,11,22,4,9,10,10,0,7,6,5,0,1,3,6,36,0.4,0.171,74,8,0.167,23,79,230,4,3,2022-04-01,136.86666666666667,4,36,52,4,37,38,10,3,2,270,5,24,24.0,5.0,0.22974999999999998,0.35850000000000004,0,26,11
5,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101136,2022-03-30T00:00:00,DAL @ CLE,W,37.833333333333336,14,26,3,6,4,4,0,9,13,3,1,2,1,4,35,0.366,0.229,75,20,0.057,23,79,230,10,1,2022-03-30,99.03333333333333,3,30,32,4,28,25,7,2,0,195,4,20,14.0,4.0,0.22999999999999998,0.35600000000000004,0,26,9
6,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101134,2022-03-29T00:00:00,DAL vs. LAL,W,29.65,12,23,4,12,6,7,3,9,12,1,1,0,1,6,34,0.397,0.268,60,14,0.059,23,79,230,7,1,2022-03-29,69.38333333333333,2,18,21,1,19,13,6,1,0,135,3,14,7.0,3.0,0.211,0.3355,0,26,8
7,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101121,2022-03-27T00:00:00,DAL vs. UTA,W,32.7,11,21,4,7,6,9,1,9,5,3,0,0,3,9,32,0.397,0.212,61,12,0.063,23,79,230,6,1,2022-03-27,74.50166666666667,2,22,13,0,16,18,11,2,0,149,4,10,3.0,2.0,0.1235,0.3035,0,26,6
8,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101104,2022-03-25T00:00:00,DAL @ MIN,L,36.68333333333333,8,18,5,11,3,5,0,10,8,3,1,0,0,5,24,0.274,0.21,74,2,0.167,23,79,230,1,2,2022-03-25,102.60166666666666,3,33,24,1,16,23,18,1,1,201,6,16,9.0,1.0,0.10233333333333333,0.37366666666666665,0,26,4
9,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101079,2022-03-21T00:00:00,DAL vs. MIN,W,37.818333333333335,5,17,3,11,2,4,0,6,10,8,1,0,4,5,15,0.333,0.037,75,4,0.0,23,79,230,2,0,2022-03-21,103.55,3,34,32,1,19,22,14,2,2,197,4,16,14.0,3.0,0.17733333333333334,0.3866666666666667,1,26,0
10,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101059,2022-03-19T00:00:00,DAL @ CHA,L,29.866666666666667,13,20,8,12,3,5,0,4,3,4,0,0,2,5,37,0.388,0.204,60,8,0.054,23,79,230,4,1,2022-03-19,112.36500000000001,3,32,30,1,23,27,15,5,2,212,2,14,12.0,4.0,0.17733333333333334,0.35433333333333333,0,25,16
11,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101046,2022-03-18T00:00:00,DAL @ PHI,L,34.916666666666664,5,20,2,10,5,9,1,6,10,6,0,1,0,6,17,0.4,0.066,66,6,0.0,23,79,230,3,0,2022-03-18,113.14833333333333,3,33,28,1,30,23,14,5,3,217,3,14,13.0,4.0,0.22499999999999998,0.3363333333333333,0,25,15
12,2021-22,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,0022101036,2022-03-16T00:00:00,DAL @ BKN,W,38.766666666666666,14,26,5,12,4,4,0,9,9,4,2,1,2,5,37,0.372,0.262,71,14,0.108,23,79,230,7,2,2022-03-16,108.41499999999999,3,32,28,4,24,18,12,4,3,210,4,18,13.0,4.0,0.21466666666666667,0.3406666666666667,0,25,13
